prompt,answer,f1
"The Government of the Islands will make available to immigrants arriving with the Aquarius ship a building with twenty-five seats. It is an old convent located on the road to Son Rapinya. The Minister of Social Services and Cooperation, Fina Santiago, has explained that the executive was offered to the Spanish government and the Generalitat Valenciana to accommodate a part of the 630 immigrants of the Aquarius. Thanks to an agreement with the Congregation of the Sisters of Charity, owner of the convent, the government already has the house at its disposal as equipment for the reception. It is a building of 930 square meters, distributed on three floors, with eighteen rooms, kitchen, dining rooms, rooms, and patio, well connected in an area of Palma.
-----
Question: How many immigrants can host the building?
Answer: twenty-five
-----
Question: Who are the owners of the building?
Answer: Congregation of the Sisters of Charity
-----
Question: How many rooms does the building have?
Answer:",181,0.0
"The end was very controversial, as both players stated that they preferred the match to continue. When he announced his decision at a press conference, Campomanes cited the health of the players, saying that they had suffered a lot of tension for the duration of the match. Karpov had lost 10 kilos and had to be hospitalized several times, but Kasparov was in an excellent state of health, and extremely offended by Campomanes' decision, asking why he was closing the match if both players said they wanted to continue. It seemed that Kasparov, who had won the last two games before the suspension, felt that he would win, all his 5-3 disadvantages. He seemed to be the most physically opposed to the subsequent games that he had played.
-----
Question: How many kilos had Karpov lost during the game?
Answer: 10
-----
Question: How was Kasparov's health after the game?
Answer: in excellent condition
-----
Question: What offended Kasparov?
Answer: the decision of Campomanes
-----
Question: What was Kasparov's downside before the suspension?
Answer: 5-3
-----
Question: How many games did Kasparov win before the suspension?
Answer:",two,0.0
"In the spring of 1939, in need of finding a job, he unsuccessfully tried a contract at the Royal Dramatic Theatre in Stockholm. A girl from the dance group helped him financially until he got a job as a pointer at the Royal Opera in Stockholm for the Offenbach Orchestra in the Hells, with a salary of thirteen crowns per night. The young man, coming to financial security, began to write intensely and, within two years, write twelve dramas and a lyric opera.
-----
Question: How many dramas does the young man write in two years?
Answer: 12
-----
Question: Where did the young pointing job get?
Response: at the Royal Opera in Stockholm
-----
Question: What were you the young man as a pointer?
Answer: Thirteen crowns per night
-----
Question: What theater is the young man trying a contract with in the spring of 1939?
Answer:",Royal Dramatic Theatre in Stockholm,1.0
"The yes to independence remains majority and widens the distance from the no, according to the CEO’s latest sounding, which has been published today. 47.2% of Catalans want Catalonia to become an independent state, by 43.2%, which opposes it. 9.6% does not know or does not answer. The difference compared to the previous barometer, in July, has been extended; it was 46.7% for yes and 44.9% for no. 57% of Catalans would vote against the Spanish constitution, according to the CEO Regarding the result of hypothetical elections to the Parliament of Catalonia, the CEO draws a chamber with an absolute majority of independence with 69-73 seats.
-----
Question: How many seats would the pro-independence have?
Reply : 69-73
-----
Question: How is the yes to independence?
Answer: majority
-----
Question: What percentage of respondents do not know or do not answer?
Answer:",9.6,1.0
"The judge has lifted the precautionary measures against Xènia G. R., one of the young people imprisoned in the wake of the protests against the ruling of the Spanish Supreme Court. Precautionary men prevented her from attending demonstrations and she had to appear every fortnight in front of a judge. Xènia, aged twenty-two, was arrested on Friday, October 18 in the afternoon in the street of Jonqueres in Barcelona, next to the Via Laietana, when she returned from the demonstration of the general strike. For thirteen days she was imprisoned preventively in the prison of Wad Ras. The struggle continues to await trial, as the rest of the colleagues who left in freedom.
-----
Question: How old is Xènia?
Answer: 22
-----
Question: Who were precautionary measures against?
Answer: Xènia G. R.
-----
Question: What was Xènia G. R. protesting against?
Answer:",against the ruling of the Spanish Supreme Court,0.923076923076923
"A woman who was admitted by legionella since last month -first at the Hospital la Plana in Vila-real, and then at La Fe in Valencia -has died this Friday. According to Europa Press sources of the Department of Health, last month three cases of this disease were detected in a citrus store in Nules (Plana Baja), so three women were admitted to La Plana. Two were treated and discharged, but the other was derived to the Hospital La Fe in Valencia, where it remained until its death yesterday.
-----
Question: How many cases of Legionella were detected last month?
Answer: three
-----
Question: What illness was the woman who died admitted?
Answer:",legionella·la,0.0
"Hong Kong police has arrested media mogul Jimmy Lai, member of the so-called Four Band, the designation that China uses to group the great leaders of the opposition in the territory. Lai, seventy-two years old and founder of the well-known Apple Daily newspaper, part of its conglomerate Next Digital, has been arrested at his home around eight o'clock, local time. Having declared at the police station of Kowloon, he has gone out on provisional release and without answering questions from the media. The police intends to file charges against him for having participated in an unauthorized meeting in universal suffrage on August 31 next, in full where demonstrations against the government of Hongence, he considers himself to have become a leading Western states, but still halfways, he has been removed from the public leadership.
-----
Question: How old is Jimmy Lai?
Answer: seventy-two
-----
Question: What's the name of the band Jimmy Lai belongs to?
Answer: Band of Four
-----
Question: What media founded Jimmy Lai?
Answer:",Apple Daily News,0.8
"One of the main antecedents of the expressionist opera was The Marked (Die Gezeichneten, 1918), by Franz Schreker, an opera of great complexity that required an orchestra of 120 musicians. Based on a Renaissance Italian drama, it was a work of obaga and tortured theme, fully immersed in the depressing spirit of the post-war period. The music was innovative, radical, of enigmatic sonority, with a bold and brilliant instrumental coloratura. In 1927 Ernst Krenek premiered the opera Jonny spielt auf, which achieved a remarkable success and was the most performed opera of the moment. With great influence of jazz, Krenek experimented with the main musical tendencies of the “Anthemous” in the “Mona”, the “Des of the in the “Mona”, “Mona”, “Mona”, was the great musicalism of the “Dona”, with the great in the “Dona’s ex-Genetrician”, and the “Genetricism of the “Mona”, the “Mona”, the “Gene
-----
Question: How many musicians did the Els marked orchestra require?
Answer: 120
-----
Question: Whose opera is The Markers?
Reply : Franz Schreker
-----
Question: What was the music for Els marcats?
Answer: innovative, radical, enigmatic sonority, with a bold and brilliant instrumental coloratura
-----
Question: Where did Korngold emigrate?
Answer:",in the United States,0.2222222222222222
"In this memoir Lavoisier explains the contributions to the nomenclature made by Macquer, Antoine Baumé (1728-1804) and Guyton de Morveau. Lavoisier introduces two important changes to Guyton’s initial project. On the one hand, the nomenclature must be adapted to his theory, and on the other hand, the nomenclature is not only a conventional issue but must reflect the nature of the substances. Lavoisier points out that the old names are not systematic, many are ridiculous, and hinder the advance of chemical progress. It was based on the ideas of the French philosopher Étienne Bonnot de Condilla (1715-1780) who proposed that they were the simplest substances that were the ones that were called the sensations that were first to be given.
-----
Question: How many changes does Lavoisier make to Guyton's initial project?
Answer: two
-----
Question: What should the nomenclature reflect?
Answer: The nature of substances
-----
Question: What should the nomenclature be adapted to according to Lavoisier?
Answer: To Your Theory
-----
Question: In the ideas of which French philosopher Lavoisier was based?
Answer:",Étienne Bonnot from Condillac,0.4444444444444445
"Upon learning that the president and the first lady would attend a performance at the Ford Theatre, he prepared his plan, assigning collaborators to assassinate also Vice President Andrew Johnson and Secretary of State William H. Seward. Without his main bodyguard, Ward Hill Lamon, to whom he had told his famous premonitory dream of his murder, Lincoln went to see the play Our American cousin on April 14, 1865. While a single bodyguard was also riding around the theater, and Lincoln was sitting in his box (number 7) of the amphitheatre, Booth hid behind the president and waited what he thought would be the most amusing moment of the play, so that the mayor would begin shooting at me from the hurries, and when Booths fired at me.
-----
Question: How many bodyguards were around the theater?
Answer: a single
-----
Question: Where did Booth hide?
Answer: Behind the President
-----
Question: What play did Lincoln go to see at the Ford Theatre?
Answer: Our American cousin
-----
Question: What day did Lincoln go to see Our American cousin?
Reply : April 14, 1865
-----
Question: What theatre did the President and the First Lady attend?
Answer:",The Ford Theatre,1.0
"He identified lanthanum (La) with the unknown element of atomic mass 180 (now hafnium, Hf), so he misplaced it. In his place he placed the element Di (didimi), which was later discovered to be a mixture of praseodymium (Pr), neodymium (Nd) and samarium (Sm). However, he did leave room to place the lanthanides or rare earths, which had not yet been discovered (Pr, Nd, Pm, Sm, Eu, Gd, Tb, Dy, Hom, Yb), but also located in the transuranium (Ps), with the five other elements of the germanium (Pr, and Ts), which were not already discovered in the upper Uk, but with the elements of the cerb (atian), and the cerb (atianum (Prium, and the cerebius, which were not found in the upper Uk).
-----
Question: How many sites did he leave for undiscovered transuranium elements with atomic mass above uranium (U)?
Answer: five
-----
Question: How is the 180 atomic mass element currently known?
Reply : Hafnium
-----
Question: What did you identify the lanthanum (La) with?
Answer: Unknown atomic mass element 180
-----
Question: What element was a mixture of praseodymium (Pr), neodymium (Nd) and samarium (Sm)?
Answer:",fr,0.0
"The Scottish National Party, the SNP, has won the European elections in Scotland by obtaining three MEPs. Thus, the party of Prime Minister Nicola Sturgeon has improved its results in these elections with 37.7% of the vote, eight points more than in the last elections, and thus, getting one more seat in the European Parliament. While the Brexit Party has been second with one MEP and Liberals and Conservatives have also won one each, Labour has come fifth with only 10% of the vote, losing the two MEPs for Scotland they had. Alyn Smith will therefore repeat as an MEP for the SNP that will also send Christian AllLeard and McCileen to join the European Parliament (however, Labour has all three MEPs to join the European Parliament.)
-----
Question: How many MEPs have obtained the SNP?
Answer: three
-----
Question: In what position has the Brexit Party been in the elections?
Answer: Second
-----
Question: Which political party has won the European elections in Scotland?
Answer:",The Scottish National Party,0.0
"Lemurs are social animals and live in groups that usually have at least fifteen individuals. Among their social organization models, mention may be made of the “solitary, but social” model and the “fission-fusion” model,[N 3] “partner union” and “multi-male group”. Lemurs are primarily solitary but social. At night, they all seek food alone, but they generally gather in groups during the day. The degree of socialization varies depending on the species, the genus, the location and the season. For example, in many nocturnal species, females, along with their offspring, share breeding sites with other females and a male. These places are likely to share a broad range of lemurs, and the same as the females, and females, and females, and females.
-----
Question: How many individuals have lemur groups?
Answer: at least fifteen
-----
Question: How do nocturnal lemurs look for food?
Answer: Alone
-----
Question: When do nocturnal lemurs gather in groups?
Answer:",during the day,0.0
"The social structures of toothed whales are generally dominated by associations between females, which join with males at the time of reproduction. Fights between males to conquer females are not rare, as evidenced by the presence of scars left on the skin losing cospecifics. Often, as with Shark Bay’s mular dolphins in Australia, males can form small coalitions, called “alliances”, which fight with other alliances and can “rapt” females from another group and undergo forced intercourse. Long-beaked dolphins are associated in groups of about one hundred individuals. Inside the other individuals, they form twelve associations of other males, called “al-like groups”, which are then used to form the parenting groups of a group. The females are taught to form at least in the middle of a group, but in the parent group of the same age, the parent group.
-----
Question: How many individuals form the groups of long-beaked dolphins?
Answer: about a hundred
-----
Question: Why do males fight?
Answer: To Conquer Females
-----
Question: What can dolphins who have formed an alliance do?
Answer: Rapping» females from another group
-----
Question: When do females bind to males?
Answer:",at playback time,0.0
"Most scholars agree that it was during the Shimabara Rebellion of 1637, an armed uprising of Catholic converts, that the Ninges had their last major participation. During the conflict, about 40,000 rebels occupied the Shimabara Castle, located on the island of Kyūshū, so a group of Ninges was introduced to the castle to deliver detailed reports of its construction, location of the pit, stealing passwords and supplies. It was the Ninges additionally, who confirmed that the situation within the castle was critical due to the lack of food and provisions, so it was decided to make the final attack, where the rebels were defeated.
-----
Question: How many rebels occupied Shimabara Castle?
Answer: 40,000
-----
Question: What was the situation inside Shimaraba Castle like?
Answer: Critical
-----
Question: What was the Shimabara Rebellion?
Answer: an armed uprising of Catholic converts
-----
Question: Where was Shimabara Castle located?
Answer:",on the island of Kyūshū,0.6666666666666666
"There are eight rowers per boat, clinging to their oars. There are two more passengers in front of the boat, which makes the picture a total of thirty men. Using the boats as a reference you can make an approximation of the wave size: the oshiokuri-bune were usually between 12 and 15 meters long, and if you consider that Hokusai reduced the vertical scale by 30%, you come to the conclusion that the wave is between 10 and 12 meters high.
-----
Question: How many meters high is the wave?
Answer: 10-12
-----
Question: How many rowers are there per boat?
Answer: eight
-----
Question: Who is in front of the ship?
Answer: two more passengers
-----
Question: Where do the rowers hold?
Answer: to their oars
-----
Question: What length did oshiokuri-bune generally take?
Answer:",between 12 and 15 meters,0.5714285714285715
"Gothic style (Xiv-Xv century), is formed by an octagonal prism with two overlapping bodies, with eight fine tracery windows opened in each body. The first body or lower part is of unknown author, from the fourteenth century, while the second body or upper part is the work of Martí Llobet (from around 1430). The ciborium gives natural light always white on the cruise, thanks to the translucent windows of alabaster and the fact that its stone housing is reduced to a minimum.
-----
Question: How many windows are in each body?
Answer: Eight
-----
Question: Who is the author of the second body?
Response: Martí Llobet
-----
Question: How are the windows?
Answer: fine tracery openwork
-----
Question: Why is it formed?
Answer: for an octagonal prism
-----
Question: What style is it?
Answer:",Gothic,1.0
"To avoid violating Edison's patents, Biograph cameras from 1895 to 1902 used a large film format, 60 millimeters wide, with an image area of 2×21⁄2 inches, four times larger than Edison's 35mm film. Biograph films were not punched, but the camera itself punched each side of the card as they were exposed at a speed of 30 images per second. Sherlock Holmes Baffled is 86.56 meters long, with a total of 30 seconds in length, although this, in practice, could vary, since the exposure speed depended on the user's manual action.
-----
Question: How many millimeters wide is the large film format?
Answer: 60
-----
Question: Who drilled the Biograph movies?
Answer: Same camera
-----
Question: How fast were the images exposed?
Answer: 30 images per second
-----
Question: What format did Biograph cameras use from 1895 to 1902?
Answer:",of big movie,0.16666666666666666
"The president of the Generalitat de Catalunya, Quim Torra, has ordered the closure of all educational centers, both schools and nurseries, institutes and universities, from tomorrow to avoid the expansion of the coronavirus 2019. The measure is part of the PROCICAT plan that has passed to phase 1 of emergency. The closure will affect 1.800,000 students and about 100,000 teachers. In any case, the measure does not imply a confinement. 'Children can go to the park, but taking precautions', said the Minister of Health, Alba Vergés. All the information about the Coronavirus, minute by minute The president has explained that the government will meet this afternoon in an extraordinary way to take the accompanying decisions of the schools.
-----
Question: How many students will be affected by the closure of schools?
Answer: 1.800,000
-----
Question: Why has Quim Torra decreed the closure of all schools?
Answer: to prevent the expansion of the coronavirus 2019
-----
Question: What stage has the PROCICAT plan gone through?
Answer:",in emergency phase 1,0.6666666666666666
"Following the restoration and transfer of the work, the exhibition Ramon Martí Alsina was organized. The big day of Girona. Anatomy of a painting that took place between 23 October 2010 and 29 May 2011 in three spaces of Girona. The exhibition was organized by the Museum of Art of Girona in collaboration with the MNAC, and was curated by Maria Lluïsa Faxedas, professor at the University of Girona expert in the subject. The objective of this exhibition was to investigate the reasons that led Martí Alsina to carry out this work. The exhibition project was divided into 3 spaces:
-----
Question: How many spaces was the exhibition project divided?
Answer: 3
-----
Question: Who organized the exhibition?
Answer: Girona Art Museum in collaboration with MNAC
-----
Question: Where did the exhibition take place?
Answer: in three spaces in Girona
-----
Question: When did Anatomy of a Picture take place?
Answer:",between 23 October 2010 and 29 May 2011,1.0
"The draft budget of the Generalitat for 2020 foresees 2.5 billion more euros of social investment, according to the progress of Catalunya Ràdio and RAC-1. According to this information, the accounts that will negotiate the vice-president of the government, Pere Aragonès, plan to exceed the level of public spending prior to the cuts and aims to update the departments of Health, Interior and Education. In this way, the budget will again finance the kindergartens, lower the university fees, will call for new promotions of Mossos d’Esquadra and Bombers, as well as the construction of a large infrastructure, specifically the central section of the 9 metro of Barcelona, as explained by the Minister Damià. In the draft of the 2019, it will indicate the most immediate budget of the government, he said.
-----
Question: How many millions exceed the investment in the 2020 draft in relation to the 2019 budget?
Reply : 795
-----
Question: When will Aragon start budget negotiations?
Answer: 'immediately'
-----
Question: What taxes will be reduced according to the draft budget of the Generalitat?
Answer:",the university fees,0.0
"A white cloud, light, volatile, passes in front of a rocky mountain, fierce and attractive as well. This is the suggestive photograph of the young artist Amanda Bernal for the 19th National Poetry Festival of Sant Cugat. It will be held from October 9 to November 9 and will include fifty acts in thirty different spaces. In the program of the festival, organized by the Institució de les Lletres Catalanes and the Teatre Auditori de Sant Cugat, there is a risky proposal, which can be controversial: the show Amants i estalvis, which has been devised by the writer Jordi Lara for the Nit de Poesía. This act, which had been in the central program, Sambragat, but he has proposed it to the municipal canon of the party.
-----
Question: How many acts will be held at the National Poetry Festival?
Answer: 50
-----
Question: What flees Lara's show?
Answer: The Poetic Canon
-----
Question: What is the title of Lara's show?
Answer:",Lovers and savings,0.0
"The film was released at the National Museum of Construction on June 9, 1993 in Washington, D.C., sponsoring two children's charities. After its release in 1994, Jurassic Park won three Academy Awards in the categories of Best Sound Effects, Best Visual Effects and Best Sound, as well as sixteen other Awards and nominations. On October 4, 1994, it made its debut in VHS and LaserDisc video format, and was released on DVD on October 10, 2000. That same year, the film was released again in a package, which included its sequel (The Lost World: Jurass II: The Lost World: The Jurassic Park, in its turn was released in the UK on November 11, 2011.
-----
Question: How many Oscars did you win?
Answer: three
-----
Question: How many other awards and nominations did you get?
Answer: sixteen
-----
Question: What did you sponsor?
Answer:",two children's charities,0.8
"Since its premiere, Adriana Lecouvreur has been one of the favourite opera houses thanks, in large measure, to her heroine. The role of Adriana has enormous dramatic power, but it is relatively easy technically. In addition, the role requires four sensational dresses for the soprano. With its fascinating plot and its beautiful music, Adriana Lecouvreur is an appropriate tribute to an actress who was in the legend during her lifetime.
-----
Question: How many costumes does Adriana’s role require?
Answer: four
-----
Question: How is the role of Adriana technically?
Answer: Relatively easy
-----
Question: What are the soprano costumes like?
Answer: sensational
-----
Question: What was Adriana Lecouvreur?
Answer:",an appropriate tribute to an actress who was in life what was in the legend,0.4
"The CSU, the conservative party and key ally of Angela Merkel, yesterday received a very hard electoral coup in the Bavarian elections, which further weakens the government of the German chancellor. The Socialists of the SPD, the other allies in the government of Berlin have still received a stronger shock, because they have lost almost half of the votes. The Social-Christian Union, the Bavarian 'German party' of the CDU, which dominates the land since the fifties, loses a dozen points compared to 2013, when it renewed the absolute majority, and will be forced to seek, for the first time, an alliance to govern the territory, one of the richest in Germany. The CSU has won the 85 MPs, and the coalition has lost. And it has lost the 85 MPs.
-----
Question: How many Members have got the CSU?
Answer: 85
-----
Question: How many votes has the SPD lost?
Answer: Almost half
-----
Question: What will the Social-Christian Union have to look for in order to govern the territory?
Answer:",an alliance,0.19999999999999998
"Five prisoners and six prison officials have been infected with the coronavirus 2019, as reported by the Department of Justice. Among the inmates, three are admitted to the Terrassa Prison Hospital and two more in hospitals on the public network. In addition, there are thirty-six cases under study. The first known case of the Covid-19 transcended on March 14 to Brians 2. Last week it was revealed that the one found guilty for the crime of the Urban Guard and internal to the women's prison of Wad Ras, Rosa Peral, had also been infected. On the other hand, the Catalan prisons have begun a pilot plan for inmates to contact by videoconference with their relatives while they carry the coronavirus confiscation measures.
-----
Question: How many cases of possible COVID-19 are being studied in prisons?
Answer: 36
-----
Question: Who has been infected with the coronavirus 2019 in prisons?
Answer: Five prisoners and six officials
-----
Question: Where was the first case of Covid-19 in prisons?
Answer:",Brians 2,1.0
"After his death in 1917, more than 150 sculpture works were found in his studio, of which the main subjects were horse racing and dancers. Degas scholars say that the sculptures were not created as an auxiliary of the paintings. His first and only exhibition of sculpture during his life took place in 1881, when he exhibited The small fourteen-year-old dancer, only shown again in 1920; the rest of the sculptural works were in private collections until an exhibition organized after his death in 1918. The sculpture was not so much in response to the visual loss, but as one more chapter in his company, exploring different media and graphic creations, and having a chance to explore the same way of drawing. When he had a model and gave it to the same importance to drawing.
-----
Question: How many sculptural works did they find?
Answer: over 150
-----
Question: What did you explore with the sculpture?
Answer: different media creation and communication
-----
Question: What work did you exhibit?
Answer: The little fourteen-year-old dancer
-----
Question: When did you make your first sculpture exhibition?
Answer: 1881
-----
Question: What year did you die?
Answer:",1917 - 1917,0.6666666666666666
"The Mesa de Les Corts Valencianes of the tenth legislature has been constituted with members of all parliamentary groups with the exception of Vox, who has presented its candidates but has only obtained the votes of his group. Enric Morera (Compromís) has been re-elected president of the Valencian Parliament thanks to the 2 votes of the PSPV, Compromís and Unidad Podemos-EU. The other candidate proposed, José María Llanos (Vox) has only had the vote of the ten members of his group. In addition, there have been 37 blank votes (of the PP and Citizens). The first vice president of the Cortes is the so far Minister of Public Works, the Socialist María José Salvador, who has obtained 52 votes and the deputy of the PP has obtained the first one, and the deputy of the first one of the party, Luis Cabeza, has obtained the deputy of the first one.
-----
Question: How many votes has Jorge Bellver obtained?
Answer: 37
-----
Question: Who is in the first secretariat?
Answer: Cristina Cabedo
-----
Question: With whom has the Bureau of the Valencian Parliament been formed?
Answer:",with members from all parliamentary groups except Vox,0.0
"On 2 June 1916, Tolkien received a telegram from Folkestone, from where he was to be transferred to France. The Tolkiens spent the last night, before leaving, in a room at the Plough & Harrow Hotel in Birmingham. He would later write that ""twelve officers died every minute. Walking away from my wife at the time ... was almost like death.""
-----
Question: How many officers died every day according to Tolkien?
Answer: dozens
-----
Question: What did you receive on June 2nd?
Answer: a Telegram
-----
Question: Where did the marriage last night?
Answer: in a room at the Plough & Harrow hotel
-----
Question: Where did they quote him?
Answer:",at Folkestone,0.038834951456310676
"Reaching Mercury from Earth has significant technical difficulties, as the planet orbits much closer to the Sun than Earth does. A Mercury-bound spacecraft launched from Earth must travel about 91 million kilometers towards the Sun's gravitational potential well. Starting from Earth's orbital velocity of 30 km/s, the change in velocity (delta-v) that the spacecraft must do to enter a Hohmann transfer orbit passing near Mercury is great compared to other planetary missions.
-----
Question: How many kilometres does the ship have to travel?
Answer: 91 million
-----
Question: How are the technical difficulties in getting to Mercury?
Answer: Significant
-----
Question: What do you have to do to enter Hohmann transfer orbit?
Answer: Change in speed
-----
Question: Where does Mercury orbit compared to Earth?
Answer: Closer to the Sun
-----
Question: Where should the ship go in?
Answer:",in a Hohmann transfer orbit,0.0
"About a hundred migrants and refugees traveling aboard a vessel in danger have been rescued today off the coast of Libya by a boat supported by the German NGO Mission Lifeline. The captain and owner of the ship 'Eleonore', Claus-Peter Reisch, has said that the rescue occurred 'on the last second', since the boat, an inflatable boat, was already sinking. Reisch has claimed on Twitter a 'safe' port for these people. Reisch was already tried in Malta for a rescue operation carried out by the 'Lifeline', which continues to be held by irregularities. His new ship, a motorized boat from Libya, is found on Saturday, among the people of the Mediterranean have arrived in front of this area.
-----
Question: How many migrants and refugees have been rescued?
Answer: About a hundred
-----
Question: What is the name of the ship that rescued them?
Answer: Eleonore
-----
Question: Where were they when they were rescued?
Answer:",off the coast of Libya,0.05797101449275362
"The theory of collision with an asteroid, which was popularized in 1980 by Walter Alvarez and his colleagues, relates the late Cretaceous period extinction to an impact with a bolide about 65.5 million years ago. Alvarez and others suggested that a sudden increase in iridium levels, recorded around the world in the rocky strata of this period, was a direct proof of the impact. Most indications now suggest that a bolide five to fifteen kilometers in diameter impacted the Earth near the Yucatán Peninsula, creating the 170 km diameter Chiculxub crater, triggering massive extinction. Some scientists know that it has not been falling in the natural temperature, and that it has not been falling before.
-----
Question: How many years ago did the bolide hit Walter Alvarez and his colleagues?
Answer: 65.5 million
-----
Question: How many kilometers in diameter was the bolide that is currently supposed to have hit near the Yucatán Peninsula?
Answer: between five and fifteen
-----
Question: Who popularized the theory of collision with an asteroid?
Answer: Walter Alvarez and his colleagues
-----
Question: When was the theory of collision with an asteroid popularized?
Answer:",1980 – 1980,0.6666666666666666
"Inmates of the CIE de Sapadors in Valencia have carried out this weekend a hunger strike that would have supported 'the majority' of the 85 migrants in the center, in protest for their 'unjust freedom privation' and their 'inhumane conditions'. The protest began during the night of Friday and was called this Sunday, as reported to Europa Press the spokesman of the CIE No campaign, Adrián Vives. The entity has recorded that inmates began to organize during the noon this Friday to start a hunger strike at the time when they serve dinner. Thus, as they have transferred to foreigners, They did not effectively refer during dinner. The in this campaign did not appear to the inmates' they have to be told the inmates. The inmates not to the inmates, they have eaten without the in the inmates.
-----
Question: How many migrants are there in the CIE de Sapadors in Valencia?
Answer: 85
-----
Question: Why do the migrants of the CIE de Sapadors in Valencia protest?
Answer: for your 'unjust freedom privacy' and your 'inhuman conditions'
-----
Question: What is seen in the images sent by inmates to the CIE campaign No?
Answer:",'All inmates sitting in the dining room in chairs without trays and without food',0.08
"As a teenager, Kasparov twice tied for first place in the USSR Chess Championship, in 1980-81 and 1981-82. His first victory in an elite international tournament was in Bugojno 1982. He won a place for the 1982 Moscow Interzonal tournament, which he won, qualifying for the Candidates Tournament. At the age of 19, he was the youngest Candidate since Bobby Fischer, who was 15 when he qualified in 1958. On the January 1983 Elo list, he was already the second player in the world rankings, behind only the world champion Anatoly Karpov.
-----
Question: How old was Bobby Fischer when he qualified for the Moscow Interzonal tournament?
Answer: 15
-----
Question: In which championship Kasparov twice tied for first place?
Answer:",USSR Chess Championship,0.0
"The Balearic Minister of Health, Patricia Gómez, has warned that there are 489 jars of white beans with botulinum toxin in the hands of consumers of the Balearic Islands, so she has made an urgent call to the population to refrain from consuming them and return the packaging to the establishment where they acquired it. As reported in a press conference, although last week 7,056 jars were removed from the supermarkets, there are still 238 in Ibiza and 251 between Mallorca and Menorca that have not been located in the hands of consumers. The Spanish Center of Food of the Cuittrium, the food agency of Nutrium and that has been confirmed in the presence of S. The food in Shopkeepers have been in favor of this way of S.
-----
Question: How many jars of contaminated beans are there in the Balearic Islands?
Reply : 489
-----
Question: When were 7056 jars of beans removed from supermarkets?
Answer:",last week,1.0
"The project of Primary sponsored by the ANC has achieved 22 councilors throughout the Principality. The visible face, Barcelona is capital, Jordi Graupera, has reached 28,230 votes (3,74%) and has remained outside the City Council of Barcelona, unable to reach the 5% necessary to obtain representation. Graupera has recognized the defeat and that this forces them to reflect on 'the political relationship with the country'. Likewise, he has affirmed that the current parties and ideas of the Catalan politics 'are not walking towards independence' because they do it towards 'the administration of the province'and the distribution of the institutions between the political parties and their clients' Gralons networks' have added the very best of October 2017 political parties.
-----
Question: How many councilors have obtained the Primary School project sponsored by the ANC?
Answer: 22
-----
Question: Where are the current parties and ideas of Catalan politics going according to Graupera?
Answer: Towards 'Province administration'
-----
Question: How many people do you think Graupera has arrived?
Answer:",to 'many people',0.0
"The constituency of Valencia will have a total of 16 deputies in the elections on 26 June, one more than 20 December, while the constituency of León will have one less, and will go from five to four. This is established by the decree for the convocation of the elections signed yesterday by Felipe VI and ratified by the president of the Spanish congress, Patxi López. Lopez reported this change in the number of deputies who will elect León and Valencia in a press conference after initialling the decree with the King of Spain in the Palace of La Zarzuela. The rest of the constituencies will have the same number of deputies as on 20 December. Madrid is the one that has the most, 36, followed by Barcelona, 31.
-----
Question: How many Members will the Leon constituency have?
Answer: four
-----
Question: How many Members will the constituency of Valencia have?
Answer: 16
-----
Question: Which constituency has the most MPs?
Answer:",Madrid City Centre,0.0
"On May 9, 2008, following the Rosetta@home user suggestion to create an interactive version of the distributed computing program, the Baker Laboratory launched Foldit, an online protein structure prediction game based on the Rosetta platform. As of January 22, 2012, Foldit had over 240,000 registered users. The game allows users to perform a series of actions (e.g., ""shaking"", ""bellugar"" or ""rebuild"") to guide the skeleton and amino acid side chains of the target protein towards more energy-friendly conformations. Users can search individually as ""collective"" solitors or ""collective"" players can then engage in more favorable player feedback.
-----
Question: How many users did Foldit have registered on 22 January 2012?
Answer: over 240,000
-----
Question: Who wins the game?
Answer: The player with the most favorable energy structure after 20 turns
-----
Question: Who launched Foldit?
Answer: Baker Laboratory
-----
Question: How are users who are looking for solutions individually named?
Answer: Soloists
-----
Question: What is Foldit?
Answer:",an online protein structure prediction game based on the Rosetta platform,0.5333333333333333
"The former counselor and representative of the most liberal wing of the old CDC, Antoni Fernández and Teixidó, has decided to end 23 years of party militancy, since he does not feel represented by the independence and republican bet of the Catalan Democratic Party (PDC) that, in his opinion, does not differ from the orientation of the ERC. The decision of Teixidó, which he has exposed himself in an article this Wednesday in 'La Vanguardia' collected by Europa Press, comes months after he has already resigned from the CDC for 'political discrimination' when he opposed the declaration of beginning of the sovereign process and two days after the re-founded of the republic of the Teixidó General, has been more controversial, and the most representative of the party. According to the party, Teixidó, the party, Teixidó, he has been the party, he has been the most prominent party of the political party of the political party.
-----
Question: How many years have Antoni Fernández been a CDC member?
Answer: 23
-----
Question: Why did Fernández resign from CDC positions?
Answer:",political discrepancy,0.0
