prompt,answer,f1,predictions
"MADRID, 9 (EUROPA PRESS)      El Govern de Cuba ha anunciat una sèrie de maniobres militars que es prolongaran durant cinc dies i que tenen entre els seus objectius “enfrontar les diferents accions de l'enemic”, si bé la nota oficial no inclou al·lusions a cap país en concret. El Ministeri de les Forces Armades ha confirmat que entre els dies 16 i 18 de novembre tindrà lloc l'Exercici Estratègic Bastió 2016 per “elevar la disposició del país per a la defensa i la preparació de les tropes i la població per enfrontar les diferents accions de l'enemic”. Els dies 19 i 20 de novembre, amb motiu dels Dies Nacionals de la Defensa, es realitzaran noves maniobres amb moviment de tropes i material de guerra. El Govern no descarta explosions “en els casos que es requereixi”, segons el comunicat recollit pel diari oficial 'Granma'. L'anunci ha arribat unes hores després de conèixer-se el triomf de Donald Trump a les eleccions presidencials dels Estats Units, tot i que les autoritats cubanes no han al·ludit en cap moment a aquest context. El magnat ha advocat per revisar un altre cop les relacions amb Cuba després de l'històric acostament promogut per l'Administració de Barack Obama.
----
Pregunta: Quants dies trigaran les maniobres militars?
Resposta: cinc
----
Pregunta: Quan es dura a terme l'Exercici Estratègic Bastió 2016?
Resposta:",16 i 18 de novembre,0.8000000000000002, 16 al 18 de novembre
"El Parc Güell (1900-1914) havia de ser una urbanització de gran categoria, amb aproximadament 60 habitatges disseminats en un immens jardí, als voltants de la ciutat i amb una vista panoràmica sobre tot Barcelona, però va resultar un fracàs comercial, i se'n vengueren només dues parcel·les. En el disseny del parc, es posa clarament de manifest la mà i l'estil peculiar de Gaudí, evident en qualsevol element, per petit que sigui. Hi existeixen formes ondades, semblants a rius de lava, i passejos coberts amb columnes que tenen formes d'arbres o d'estalactites. Moltes de les superfícies estan cobertes amb trencadís, trossos de ceràmica o de vidre a manera de mosaics de colors. El punt central del parc està constituït per una immensa plaça buida, la vora de la qual serveix de banc i ondula com una serp de cent cinquanta metres de longitud. Aquest banc està recobert també de trencadís fet de petites peces de ceràmica i vidre, obra de Josep Maria Jujol. La plaça està parcialment sostinguda per la sala de les Cent Columnes, composta per vuitanta-cinc columnes semblants a estalagmites gegants en una cova. Al sostre, entre les columnes, s'hi troben unes decoracions circulars allà on no es van construir les columnes que hi havia previstes inicialment (havien de ser-ne cent). Fins a aquest lloc, hi arriba l'escalinata de l'entrada principal del parc, de graons disposats simètricament al voltant d'una escultura de sargantana, que ha esdevingut l'emblema del jardí. A l'entrada principal del parc, s'alcen dos edificis de pur estil gaudinià, amb sostres de corbes suaus, apèndixs estranys i motius geomètrics. El de la mà dreta és la casa del Guarda, ideada i dissenyada per Gaudí com a habitatge per al porter del Parc Güell. Acull l'exposició “Güell, Gaudí i Barcelona. Expressió d'un ideal urbà”, del Museu d'Història de Barcelona, MUHBA.
----
Pregunta: Quants habitatges n'hi havien de construir?
Resposta: aproximadament 60
----
Pregunta: De qui és obra el trencadís del banc de la plaça?
Resposta: de Josep Maria Jujol
----
Pregunta: Què havia de ser el Parc Güell?
Resposta: una urbanització
----
Pregunta: Què ha esdevingut l'emblema del jardí?
Resposta: una escultura de sargantana
----
Pregunta: Quantes parcel·les es van vendre?
Resposta:",dues,0.0, només dos
"Bielorússia no tenia cap himne anterior al que fou adoptat durant l'era soviètica. Quan Lukaixenko va publicar el seu decret seleccionant el nou himne nacional es van fer pocs canvis a l'himne de l'era soviètica: es van eliminar les referències a Rússia, al Partit Comunista de la Unió Soviètica i a Lenin, però es va mantenir el tema general de l'«amistat dels pobles» i la música original de Sakalouski. El govern va decidir mantenir aquesta darrera per tal de no trencar la continuïtat històrica, i també per la seva qualitat musical. Després que s'adoptés l'himne nacional, el procés d'adopció dels símbols nacionals ja estava complet.
----
Pregunta: Quants canvis es van fer en l'himne nacional de Lukaixenko respecte al de l'era soviètica?
Resposta: pocs
----
Pregunta: Per què va decidir el govern mantenir la música original de Sakalouski?
Resposta: per tal de no trencar la continuïtat històrica, i també per la seva qualitat musical
----
Pregunta: Quin era el tema general de l'himne?
Resposta: l'«amistat dels pobles»
----
Pregunta: Quines referències es van eliminar en l'himne de Lukaixenko?
Resposta:","a Rússia, al Partit Comunista de la Unió Soviètica i a Lenin",0.8571428571428572," Referències a Rússia, el Partit Comunista de la Unió Soviètica i Lenin"
"Els espanyols amb més de 1.500 baixes i completament desmoralitzats, no tingueren ànims per emprendre cap més assalt i anaren a passar la nit a Sants junt la Torre de Benet Mas, formats en batalla i obrint trinxeres. L'endemà es trobaren 204 cadàvers hispànics abandonats en els pendents de Montjuïc. Els catalans tingueren poquíssimes baixes, en total 32 morts i altres tants ferits. La companyia dels Estevens fou la que resultà més mal parada amb 10 o 12 morts i altres tants ferits, entre ells el seu capità Ambrosi Gallart. La cavalleria va tenir 10 morts i 12 ferits segons la Crònica Exemplària.
----
Pregunta: Quants cadàvers hispànics es van trobar als pendents de Montjuïc?
Resposta: 204
----
Pregunta: Com estaven els espanyols?
Resposta: completament desmoralitzats
----
Pregunta: On van anar a passar la nit els espanyols?
Resposta: Sants
----
Pregunta: Quantes baixes tenien els Espanyols?
Resposta: més de 1.500
----
Pregunta: Quantes baixes tenien els catalans?
Resposta:",poquíssimes,0.0, molt poques
"El llatí heretà sis dels vuit casos gramaticals originals del protoindoeuropeu: el nominatiu, el vocatiu, l'acusatiu, el genitiu, el datiu i l'ablatiu. El cas locatiu indoeuropeu sobrevisqué en les declinacions d'alguns topònims i substantius, com ara Roma 'Roma' (locatiu Romae) o domus 'casa' (locatiu domi). Algunes formes adverbials que acaben en -e són vestigis del cas instrumental.
----
Pregunta: Quants casos gramaticals té el protoindoeuropeu?
Resposta: vuit
----
Pregunta: Quants casos gramaticals del protoindoeuropeu va heretar el llatí?
Resposta: sis
----
Pregunta: En quines declinacions va sobreviure el cas locatiu indoeuropeu?
Resposta:",d'alguns topònims i substantius,0.6666666666666665, en alguns topònims i substantius
"Alhora, antics aliats revolucionaris de Khomeini, les guerrilles islamistes modernistes dels Mujaidins del Poble (MEK), estaven sent anul·lades per les organitzacions revolucionàries khomeinistes. Khomeini va atacar el MEK titllant-los de monafeqin (hipòcrites) i kafir (infidels). Activistes de Hezbol·là atacaven llocs de reunió, llibreries i quioscs de premsa dels Mujaidins i d'altres grups d'esquerres, portant-los a la clandestinitat. Les Universitats es van tancar per depurar-les d'adversaris del govern teocràtic com a part de la ""revolució cultural iraniana"", i 20.000 professors i gairebé 8.000 oficials de l'exèrcit considerats massa ""occidentalitzats"" foren acomiadats.
----
Pregunta: Quants professors van ser acomiadats de les Universitats?
Resposta: 20.000
----
Pregunta: A qui va atacar Khomeini?
Resposta: el MEK
----
Pregunta: Com van ser considerats 8.000 oficials de l'exèrcit?
Resposta: massa ""occidentalitzats""
----
Pregunta: Què atacaven els activistes de Hezbol·là?
Resposta: llocs de reunió, llibreries i quioscs de premsa dels Mujaidins i d'altres grups d'esquerres
----
Pregunta: De què va titllar Khomeini el MEK?
Resposta:",de monafeqin (hipòcrites) i kafir (infidels),0.9090909090909091, Monafeqin (hipòcrites) i Kafir (infidels)
"Encara que, segons Oort, el nombre d'objectes del núvol seria d'uns 1011, les estimacions actuals donen un nombre força més elevat: al voltant dels 1013 objectes, que es mantenen estables perquè la radiació solar és molt dèbil en aquelles distàncies. Quan una estrella passa relativament a prop del núvol, el camp gravitatori de l'estrella modifica les òrbites d'alguns objectes i els llança cap a l'interior del sistema solar. Així, el núvol proporciona una font contínua de material cometari que reemplaça els cometes destruïts. Actualment, s'estima que la massa total de cometes al núvol d'Oort podria ser d'unes 40 vegades la massa de la Terra.
----
Pregunta: Quants objectes donen les estimacions actuals?
Resposta: 1013
----
Pregunta: Com es mantenen estables els objectes?
Resposta: perquè la radiació solar és molt dèbil en aquelles distàncies
----
Pregunta: Quina massa total de cometes al núvol d'Oort s'estima actualment?
Resposta: d'unes 40 vegades la massa de la Terra
----
Pregunta: Quin seria el nombre d'objectes del núvol segons Oort?
Resposta:",d'uns 1011,0.5, sobre 1011
"L'òpera de Saint-Saëns té un marcat format musical d'oratori, especialment en el primer dels seus tres actes, on es destaca la vibrant arenga de Samsó (tenor dramàtic) al seu poble per a sublevar-se contra l'opressió filistea. El primer i últim acte són una mica rígids, i la barcarola del tercer acte sembla estranya a oïdes contemporànies. Però al segon acte, l'escena de la seducció de Samsó per part de Dalila, posseeix una gran inspiració. Dues àries de Dalila són particularment conegudes: Mon coeur s'ouvre à ta voix i Printemps qui commence. La primera se sol interpretar en recitals de concert i és la pàgina més apassionada que va escriure Saint-Saëns i en la qual la duplicitat amorosa de Dalila està magníficament descrita pel quatuor en què es recolzen sòlidament els recitats. Un dels fragments més coneguts de l'òpera és la Bacanal del tercer acte, universalment coneguda com a peça de concert.
----
Pregunta: Quants actes té l'òpera de Saint-Saëns?
Resposta: tres
----
Pregunta: Quin format musical té l'òpera de Saint-Saëns?
Resposta: d'oratori
----
Pregunta: En quin acte és la barcarola?
Resposta:",tercer,0.0, la tercera
"El Tribunal Suprem del Brasil ha aprovat revocar una llei que obliga a empresonar els acusats d'un delicte si perden la seva primera apel·lació. Aquesta decisió podria suposar l'alliberament de l'ex-president Luiz Inácio Lula da Silva, que és a la presó des de fa més d'un any per suposada corrupció. #LulaLivreAmanhã https://t.co/9k4PiSl5zE — Lula (@LulaOficial) November 8, 2019  Segons el Consell Nacional de Justícia (CNJ), la resolució del Suprem afecta més de 4.800 presos, entre els quals els principals condemnats pel cas Lava Jato (autorentat, en portuguès), la investigació més gran sobre corrupció en la història de Brasil. El suprem, que està integrat per onze membres, ha aprovat la revocació per majoria sis vots a favor i cinc en contra. A partir d'ara, els acusats podran esgotar el llarg procés d'apel·lacions abans de ser empresonats, si és la decisió final dels tribunals.
----
Pregunta: A quants presos afecta la decisió del Suprem?
Resposta: més de 4.800
----
Pregunta: Per què és a la presó Lula?
Resposta: suposada corrupció
----
Pregunta: Què ha revocat el Tribunal Suprem del Brasil?
Resposta:",una llei,0.14285714285714285, la llei que exigeix l'empresonament dels que perden el seu primer recurs
"Per ajudar a aprovar la Constitució, suprimir els moderats i, a més, radicalitzar la revolució islàmica, es va convertir 52 diplomàtics americans en ostatges durant un any. A finals d'octubre del 1979, Mohammad Reza Pahlavi, exiliat i moribund, era admès als Estats Units per rebre un tractament contra el càncer. A l'Iran es va alçar immediatament la protesta, i tant Khomeini com els grups esquerrans van exigir el retorn de l'exXa a l'Iran per ser jutjat i executat. El 4 de novembre del 1979, un grup de joves islamistes, autoanomenats ""Estudiants Musulmans Seguidors de la Línia de l'Imam"", van ocupar el complex de l'Ambaixada i hi van retenir tot el personal. Els revolucionaris van recordar com 26 anys abans el Xa havia fugit a l'estranger mentre la CIA americana, amb base a l'Ambaixada, i la intel·ligència britànica organitzaven un cop d'estat per enderrocar el seu adversari nacionalista.
----
Pregunta: Quants diplomàtics americans es van convertir en ostatges?
Resposta: 52
----
Pregunta: Com es deia el grup de joves islamistes que van ocupar l'Ambaixada?
Resposta: ""Estudiants Musulmans Seguidors de la Línia de l'Imam""
----
Pregunta: Durant quant de temps es van convertir en ostatges els diplomàtics americans?
Resposta:",un any,0.0, 444 dies
"El govern de les Illes posarà a disposició dels immigrants arribats amb el vaixell Aquarius un edifici amb vint-i-cinc places. És un antic convent situat al camí de Son Rapinya. La consellera de Serveis Socials i Cooperació, Fina Santiago, ha explicat que l'executiu es va oferir al govern espanyol i la Generalitat Valenciana per acollir una part dels 630 immigrants de l'Aquarius. Gràcies a un acord amb la Congregació de les Germanes de la Caritat, propietària del convent, el govern ja té la casa a disposició com a equipament per a l'acolliment. És un edifici de 930 metres quadrats, distribuïts en tres plantes, amb divuit cambres, cuina, menjador, sales i pati, en una zona ben comunicada de Palma.
----
Pregunta: Quants immigrants pot acollir l'edifici?
Resposta: vint-i-cinc
----
Pregunta: Qui són els propietaris de l'edifici?
Resposta: Congregació de les Germanes de la Caritat
----
Pregunta: Quantes habitacions té l'edifici?
Resposta:",divuit,0.0, 18
"La finalització va ser molt polèmica, ja que ambdós jugadors van declarar que preferien que el matx continués. Quan va anunciar la seva decisió en una conferència de premsa, Campomanes va citar la salut dels jugadors, dient que havien patit molta tensió per la durada de l'enfrontament. En Kàrpov havia perdut 10 quilos i va haver de ser hospitalitzat diversos cops, però Kaspàrov en canvi, estava en un excel·lent estat de salut, i extremadament ofès per la decisió de Campomanes, preguntant per què estava clausurant el matx si ambdós jugadors deien que volien continuar. Semblava que Kaspàrov, que havia guanyat les últimes dues partides abans de la suspensió, sentia que guanyaria, tot i el seu desavantatge de 5-3. Semblava estar físicament més fort que el seu contrari i en les partides posteriors havia jugat millor als escacs.
----
Pregunta: Quants quilos havia perdut Kàrpov durant la partida?
Resposta: 10
----
Pregunta: Com es trobava la salut de Kaspàrov després de la partida?
Resposta: en un excel·lent estat
----
Pregunta: Què va ofendre Kaspàrov?
Resposta: la decisió de Campomanes
----
Pregunta: Quin era el desanvantatge de Kaspàrov abans de la suspensió?
Resposta: 5-3
----
Pregunta: Quantes partides havia guanyat Kaspàrov abans de la suspensió?
Resposta:",dues,0.0, 2
"A la primavera del 1939, en la necessitat de trobar una feina, intenta sense èxit un contracte al Teatre Reial Dramàtic d'Estocolm. Una noia del grup de ball el va ajudar econòmicament fins que va aconseguir treball d'apuntador a l'Òpera Reial d'Estocolm per a l'Orfeu en els inferns d'Offenbach, amb un sou de tretze corones per nit. El jove, arribat a la seguretat financera, va començar a escriure intensament i, en l'espai de dos anys, escriu dotze drames i una òpera lírica.
----
Pregunta: Quants drames escriu el jove en dos anys?
Resposta: dotze
----
Pregunta: On va aconseguir el jove treball d'apuntador?
Resposta: a l'Òpera Reial d'Estocolm
----
Pregunta: Quin sou tenia el jove com a apuntador?
Resposta: tretze corones per nit
----
Pregunta: Amb quin teatre intenta un contracte el jove a la primavera del 1939?
Resposta:",Teatre Reial Dramàtic d'Estocolm,1.0, Teatre dramàtic reial d'Estocolm
"El sí a la independència continua essent majoritari i amplia la distància respecte del no, segons l'últim sondatge del CEO, que s'ha publicat avui al matí. Un 47,2% dels catalans vol que Catalunya esdevingui un estat independent, per un 43,2%, que s'hi oposa. Un 9,6% no ho sap o no contesta. La diferència respecte de l'anterior baròmetre, del juliol, s'ha ampliat; era d'un 46,7% pel sí i un 44,9% pel no. El 57% dels catalans votaria contra la constitució espanyola, segons el CEO Pel que fa al resultat d'unes hipotètiques eleccions al Parlament de Catalunya, el CEO dibuixa una cambra amb majoria absoluta independentista amb 69-73 escons. La participació seria del 68%.
----
Pregunta: Quants escons tindrien els independentistes?
Resposta: 69-73
----
Pregunta: Com és el sí a la independència?
Resposta: majoritari
----
Pregunta: Quin percentatge dels enquestats no ho sap o no contesta?
Resposta:","9,6",1.0," 9,6%"
"El jutge ha aixecat les mesures cautelars contra Xènia G. R., una de les joves empresonades arran de les protestes contra la sentència del Tribunal Suprem espanyol. Les cautelars li impedien assistir a manifestacions i havia de comparèixer cada quinze dies davant d'un jutge. La Xènia, de vint-i-dos anys, va ser detinguda el divendres 18 d'octubre a la tarda al carrer de Jonqueres de Barcelona, al costat de la Via Laietana, quan tornava de la manifestació de la vaga general. Durant tretze dies va ser empresonada de manera preventiva a la presó de Wad Ras. 'La lluita continua. Continua a l'espera de judici, com la resta de companys que van sortir en llibertat.
----
Pregunta: Quants anys té la Xènia?
Resposta: vint-i-dos
----
Pregunta: Contra qui hi havia mesures cautelars?
Resposta: Xènia G. R.
----
Pregunta: Contra què protestava Xènia G. R.?
Resposta:",contra la sentència del Tribunal Suprem espanyol,0.7272727272727273, Sentència del Tribunal Suprem
"Una dona que es trobava ingressada per legionel·la des del mes passat -primer a l'Hospital la Plana de Vila-real, i després a La Fe de València -ha mort aquest divendres. Segons han confirmat a Europa Press fonts de la conselleria de Sanitat, el mes passat es van detectar tres casos d'aquesta malaltia en un magatzem citrícola de Nules (Plana Baixa), per la qual cosa es va ingressar tres dones a la Plana. Dues van ser tractades i donades d'alta, però l'altra va ser derivada a l'Hospital La Fe de València, on va romandre fins a la seva defunció ahir.
----
Pregunta: Quants casos de legionel·la es van detectar el mes passat?
Resposta: tres
----
Pregunta: Per quina malaltia estava ingressada la dona que va morir?
Resposta:",legionel·la,0.0, Malaltia de la legionària
"La policia d'Hong Kong ha detingut el magnat dels mitjans de comunicació Jimmy Lai, membre de l'anomenada Banda dels Quatre, la designació que utilitza la Xina per agrupar els grans dirigents de l'oposició al territori. Lai, de setanta-dos anys i fundador del conegut diari Apple Daily, part del seu conglomerat Next Digital, ha estat detingut a casa seva cap a les vuit, hora local. Després d'haver declarat a la comissaria de policia de Kowloon, ha sortit en llibertat provisional i sense contestar a les preguntes dels mitjans. La policia té intenció de presentar càrrecs en contra seva per haver participat en una reunió no autoritzada a favor del sufragi universal el 31 d'agost proppassat, en plena onada de manifestacions contra el govern d'Hong Kong, que es va acabar convertint en un dels dies més agitats de tot el període de les mobilitzacions. En realitat, Lai està mig retirat de l'activitat pública, però encara exerceix un paper de guia i mentor per a reporters occidentals i joves opositors. La Xina considera que la seva influència continua essent extraordinària fins al punt d'haver mantingut reunions amb el vice-president dels Estats Units, Mike Pence.
----
Pregunta: Quants anys té Jimmy Lai?
Resposta: setanta-dos
----
Pregunta: Com es diu la banda a la que pertany Jimmy Lai?
Resposta: Banda dels Quatre
----
Pregunta: Quin mitja de comunicació va fundar Jimmy Lai?
Resposta:",Apple Daily,0.0, Diari d'Apple
"Un dels principals antecedents de l'òpera expressionista fou Els marcats (Die Gezeichneten, 1918), de Franz Schreker, òpera de gran complexitat que requeria una orquestra de 120 músics. Basada en un drama renaixentista italià, era una obra de temàtica obaga i torturada, plenament immersa en l'esperit depriment de la postguerra. La música era innovadora, radical, de sonoritat enigmàtica, amb una coloratura instrumental audaç i brillant. El 1927 Ernst Krenek estrenà l'òpera Jonny spielt auf, que aconseguí un notable èxit i fou l'òpera més representada del moment. Amb gran influència del jazz, Krenek experimentà amb les principals tendències musicals de l'època: neoromanticisme, neoclassicisme, atonalitat, dodecatonisme, etc. Considerat com a ""músic degenerat"", el 1938 es refugià als Estats Units, al mateix temps que els nazis inauguraven l'exposició Entartete Musik (Música degenerada) a Düsseldorf –en paral·lel a la mostra d'art degenerat, Entartete Kunst–, on atacaven la música atonal, el jazz i les obres de músics jueus. Altre gran èxit fou l'òpera El misteri de Heliane (Das Wunder der Heliane, 1927), d'Erich Wolfgang Korngold, obra d'un cert erotisme amb una exquisida partitura concebuda en escala èpica que crea una gran dificultat per als intèrprets. Altres òperes d'aquest autor foren Die Tote Stadt, Der Ring des Polykrates i Violanta. Amb la instauració de l'Anschluss el 1938, Korngold emigrà als Estats Units.
----
Pregunta: Quants músics requeria l'orquestra d'Els marcats?
Resposta: 120
----
Pregunta: De qui és l'òpera Els marcats?
Resposta: Franz Schreker
----
Pregunta: Com era la música d'Els marcats?
Resposta: innovadora, radical, de sonoritat enigmàtica, amb una coloratura instrumental audaç i brillant
----
Pregunta: On emigrà Korngold?
Resposta:",als Estats Units,0.8, Estats Units
"En aquesta memòria Lavoisier explica les aportacions a la nomenclatura que havien fet Macquer, Antoine Baumé (1728-1804) i Guyton de Morveau. Lavoisier introdueix dos canvis importants en el projecte inicial de Guyton. Per una banda, la nomenclatura ha d'adaptar-se a la seva teoria, i per una altra, la nomenclatura no és només una qüestió convencional sinó que ha de reflectir la naturalesa de les substàncies. Lavoisier assenyala que els noms antics no són sistemàtics, molts són ridículs, i entorpeixen l'avanç del progrés químic. Es basà en les idees del filòsof francès Étienne Bonnot de Condillac (1715-1780) que proposava que les substàncies més simples eren les que s'havien d'anomenar primer, amb noms que recordassin les sensacions que proporcionaven els objectes.
----
Pregunta: Quants canvis introdueix Lavoisier en el projecte inicial de Guyton?
Resposta: dos
----
Pregunta: Què ha de reflectir la nomenclatura?
Resposta: la naturalesa de les substàncies
----
Pregunta: A què ha d'adaptar-se la nomenclatura segons Lavoisier?
Resposta: a la seva teoria
----
Pregunta: En les idees de quin filòsof francès es basà Lavoisier?
Resposta:",Étienne Bonnot de Condillac,1.0, Étienne Bonnot de Condillac
"En saber que el president i la primera dama assistirien a una funció al Teatre Ford, va preparar el seu pla, assignant col·laboradors per assassinar també el vicepresident Andrew Johnson i el secretari d'Estat William H. Seward. Sense el seu guardaespatlles principal, Ward Hill Lamon, a qui havia explicat el seu famós somni premonitori del seu assassinat, Lincoln va anara veure l'obra El nostre cosí americà el 14 d'abril de 1865. Mentre un únic guardaespatlles voltava pel teatre, i Lincoln seia a la seva llotja (número 7) de l'amfiteatre, Booth es va amagar darrere el president i va esperar el que creia que seria el moment més divertit de l'obra, perquè les rialles tapessin el soroll del tret. Quan van començar les rialles, Booth va entrar a la llotja i li va disparar un sol tret al cap, a boca de canó. L'alcalde Henry Rathbone va lluitar uns moments amb Booth però va rebre un tall de ganivet. Després, Booth va saltar des del balcó i va caure a l'escenari ""Sic semper tyrannis!"" (llatí: Sempre així als tirans) i es va escapar, malgrat que s'havia trencat la cama en saltar.
----
Pregunta: Quants guardaespatlles voltaven pel teatre?
Resposta: un únic
----
Pregunta: On es va amagar Booth?
Resposta: darrere el president
----
Pregunta: Quina obra va anar a veure Lincoln al Teatre Ford?
Resposta: El nostre cosí americà
----
Pregunta: Quin dia va anar Lincoln a veure El nostre cosí americà?
Resposta: 14 d'abril de 1865
----
Pregunta: A quin teatre van assistir el president i la primera dama?
Resposta:",Teatre Ford,1.0, Teatre Ford
"Identificà el lantani (La) amb l'element desconegut de massa atòmica 180 (actualment el hafni, Hf), per la qual cosa el situà erròniament. Al seu lloc hi posà l'element Di (didimi), que posteriorment es descobrí que era una mescla de praseodimi (Pr), neodimi (Nd) i samari (Sm). Tanmateix, sí que deixà lloc per a situar-hi els lantànids o terres rares, que encara no s'havien descobert (Pr, Nd, Pm, Sm, Eu, Gd, Tb, Dy, Ho, Tm, Yb, Lu), però mal ubicats. També deixà cinc llocs per als elements transurànids no descoberts (Np, Pu, Am, Cm i Bk), amb massa atòmica superior a la de l'urani (U), i per a altres elements que es descobririen amb posterioritat: Tc, Re, Po, At, Fr, Ra, Ac i Pa, a més dels ja indicats a la taula periòdica del 1869: escandi (Sc), gal·li (Ga) i germani (Ge). En total deixà 31 llocs buits per a elements encara no descoberts el 1871.
----
Pregunta: Quants llocs deixà per als elements transurànids no descoberts amb massa atòmica superior a l'urani (U)?
Resposta: cinc
----
Pregunta: Com es coneix actualment l'element de massa atòmica 180?
Resposta: hafni
----
Pregunta: Amb què va identificar el lantani (La)?
Resposta: amb l'element desconegut de massa atòmica 180
----
Pregunta: Quin element era una mescla de praseodimi (Pr), neodimi (Nd) i samari (Sm)?
Resposta:",Di,0.0, Dididymium
"El Partit Nacional Escocès, l'SNP, ha guanyat les eleccions europees a Escòcia obtenint tres eurodiputats. Així, el partit de la primera ministra Nicola Sturgeon ha millorat els seus resultats en aquests comicis amb un 37,7% dels vots, vuit punts més que en les últimes eleccions, i per tant, aconseguint un escó més al Parlament Europeu. Mentre que el Partit de Brexit ha quedat segon amb un eurodiputat i els liberals i els conservadors també n'han obtingut un cadascú, els laboristes han quedat en cinquè lloc amb només un 10% dels vots, perdent els dos eurodiputats per Escòcia que tenien. Alyn Smith repetirà doncs com a eurodiputat de l'SNP que també enviarà a Christian Allard i Aileen McLeod a Brussel·les. Com a membres de l'Aliança Lliure Europea (ALE), tots tres compartiran grup parlamentari amb ERC al Parlament Europeu. Tanmateix, quan el Brexit entri en vigor els eurodiputats britànics hauran de deixar els escons.
----
Pregunta: Quants eurodiputats ha obtingut l'SNP?
Resposta: tres
----
Pregunta: En quina posició ha quedat en les eleccions el Partit de Brexit?
Resposta: segon
----
Pregunta: Quin partit polític ha obtingut la victòria en les eleccions europees a Escòcia?
Resposta:",El Partit Nacional Escocès,0.0, SNP
"Els lèmurs són animals socials i viuen en grups que en general tenen almenys quinze individus. Entre els seus models d'organització social, es poden mencionar el model «solitari, però social» i el model de «fissió-fusió»,[N 3] «unions de parella» i «grups multimascle». Els lèmurs nocturns són fonamentalment solitaris però socials. De nit busquen aliment totss sols, però en general es reuneixen en grups durant el dia. El grau de socialització varia en funció de l'espècie, el gènere, la localització i l'estació. Per exemple, en moltes espècies nocturnes les femelles, juntament amb les seves cries, comparteixen llocs de cria amb altres femelles i possiblement un mascle. Aquests llocs de cria abasten un ample territori i els poden compartir diversos grups de femelles. En el cas dels lèmurs mostela i els lèmurs forcats, una o dues femelles poden compartir un territori, possiblement amb un mascle. A més de compartir espais vitals, també es relacionen vocalment o física amb el seu company de territori mentre busquen aliment durant la nit. Entre els lèmurs diürns es donen molts dels sistemes socials vistos en micos i hominoïdeus. Viuen en grups socials relativament permanents i cohesionats. Els grups multimascle són el sistema més comú entre ells, igual que en la majoria de primats antropoïdeus.[N 4] Els lèmurs bruns o vertaders utilitzen aquest sistema social i sovint viuen en grups de deu individus o menys. S'ha comprovat que els lèmurs de collar viuen en societats de fissió-fusió i que els indris formen unions de parella.
----
Pregunta: Quants individus tenen els grups de lèmurs?
Resposta: almenys quinze
----
Pregunta: Com busquen aliment els lèmurs nocturns?
Resposta: sols
----
Pregunta: Quan es reuneixen els lèmurs nocturns en grups?
Resposta:",durant el dia,0.0, A la nit
"Les estructures socials dels odontocets són generalment dominades per associacions entre individus del sexe femení, que s'uneixen amb els mascles en el moment de la reproducció. No són rars els combats entre mascles per conquerir femelles, com ho demostra la presència de cicatrius deixades a la pell perdents de coespecífics. Sovint, com passa amb els dofins mulars de Shark Bay a Austràlia, els mascles poden formar petites coalicions, anomenades «aliances», que combaten amb altres aliances i poden «raptar» les femelles d'un altre grup i sotmetre-les a un coit forçat. Els dofins de musell llarg s'associen en grups formats per uns cent individus. Dins el grup es formen subassociacions d'uns dotze individus, que neden de manera sincronitzada en una formació en forma de V, semblant a la que s'observa en les oques en vol. Els grups de les orques són associacions matriarcals dirigides per la femella madura més vella i constituïdes per almenys un mascle, cries i altres femelles. Els mascles que neixen en el si d'un grup continuen formant-ne part quan es fan grans, però només s'aparellen amb femelles pertanyents a altres grups. Els membres del grup es comuniquen entre ells per mitjà d'un dialecte que varia d'una associació a l'altra i que és ensenyat a les noves generacions. Els catxalots formen associacions similars, anomenades «unitats», en què els mascles no romanen amb les femelles i les cries, sinó que a l'edat d'uns cinc anys emprenen un llarg viatge vers latituds més altes, on hi ha més aliment, per completar el seu desenvolupament. A partir d'aleshores, es mouen d'una unitat a l'altra per aparellar-se amb més femelles.
----
Pregunta: Quants individus formen els grups dels dofins de musell llarg?
Resposta: uns cent
----
Pregunta: Per què combaten els mascles?
Resposta: per conquerir femelles
----
Pregunta: Què poden fer els dofins que han format una aliança?
Resposta: raptar» les femelles d'un altre grup
----
Pregunta: Quan s'uneixen les femelles als mascles?
Resposta:",en el moment de la reproducció,1.0, En el moment de la reproducció
"La majoria dels acadèmics concorden en què va ser durant la rebel·lió Shimabara del 1637, un aixecament armat de conversos catòlics, que els ninges van tenir la seva última gran participació. Durant el conflicte, prop de 40.000 rebels van ocupar el castell Shimabara, situat a l'illa de Kyūshū, pel que un grup de ninges es va introduir al castell per lliurar informes detallats de la seva construcció, ubicació de la fossa, robar contrasenyes i queviures. Van ser els ninges a més, que van confirmar que la situació dins del castell era crítica a causa de la manca d'aliments i provisions, per la qual cosa es va decidir realitzar l'atac final, on els rebels van ser vençuts.
----
Pregunta: Quants rebels van ocupar el castell Shimabara?
Resposta: 40.000
----
Pregunta: Com era la situació dins del castell Shimaraba?
Resposta: crítica
----
Pregunta: Què va ser la rebel·lió Shimabara?
Resposta: un aixecament armat de conversos catòlics
----
Pregunta: On estava situat el castell Shimabara?
Resposta:",a l'illa de Kyūshū,0.5, Kyūshū
